no,minutas,minuta,fecha,to,to_cambio,
1,Minuta57_08_02_18_a.pdf,m57 08_02_2018,08/02/2018,7.5,0.25,
2,Minuta58_12_04_18.pdf,m58 12_04_2018,12/04/2018,7.5,0,
3,Minuta59_17_05_18.pdf,m59 17_05_2018,17/05/2018,7.5,0,
4,Minuta60_21_06_18_a.pdf,m60 21_06_2018,21/06/2018,7.75,0.25,
5,Minuta61_02_08_18.pdf,m61 02_08_2018,02/08/2018,7.75,0,
6,Minuta62_04_10_18.pdf,m62 04_10_2018,04/10/2018,7.75,0,
7,Minuta63_15_11_18_a.pdf,m63 15_11_2018,15/11/2018,8,0.25,
8,Minuta64_20_12_18_a.pdf,m64 20_12_2018,20/12/2018,8.25,0.25,
9,Minuta65_07_02_19.pdf,m65 07_02_2019,07/02/2019,8.25,0,
10,Minuta66_28_03_19.pdf,m66 28_03_2019,28/03/2019,8.25,0,
11,Minuta67_16_05_19.pdf,m67 16_05_2019,16/05/2019,8.25,0,
12,Minuta68_27_06_19.pdf,m68 27_06_2019,27/06/2019,8.25,0,
13,Minuta69_15_08_19_d.pdf,m69 15_08_2019,15/08/2019,8,-0.25,
14,Minuta70_26_09_19_d.pdf,m70 26_09_2019,26/09/2019,7.75,-0.25,
15,Minuta71_14_11_19_d.pdf,m71 14_11_2019,14/11/2019,7.5,-0.25,
16,Minuta72_19_12_19_d.pdf,m72 19_12_2019,19/12/2019,7.25,-0.25,
17,Minuta73_13_02_20_d.pdf,m73 13_02_2020,13/02/2020,7,-0.25,
18,Minuta74_20_03_20_d.pdf,m74 20_03_2020,20/03/2020,6.5,-0.5,
19,Minuta75_21_04_20_d.pdf,m75 21_04_2020,21/04/2020,6,-0.5,
20,Minuta76_14_05_20_d.pdf,m76 14_05_2020,14/05/2020,5.5,-0.5,
21,Minuta77_25_06_20_d.pdf,m77 25_06_2020,25/06/2020,5,-0.5,
22,Minuta78_13_08_20_d.pdf,m78 13_08_2020,13/08/2020,4.5,-0.5,
23,Minuta79_24_09_20_d.pdf,m79 24_09_2020,24/09/2020,4.25,-0.25,
24,Minuta80_12_11_20.pdf,m80 12_11_2020,12/11/2020,4.25,0,
25,Minuta81_17_12_20.pdf,m81 17_12_2020,17/12/2020,4.25,0,
26,Minuta82_11_02_21_d.pdf,m82 11_02_2021,11/02/2021,4,-0.25,
27,Minuta83_25_04_21.pdf,m83 25_04_2021,25/04/2021,4,0,
28,Minuta84_13_05_21.pdf,m84 13_05_2021,13/05/2021,4,0,
29,Minuta85_24_06_21_a.pdf,m85 24_06_2021,24/06/2021,4.25,0.25,
30,Minuta86_12_08_21_a.pdf,m86 12_08_2021,12/08/2021,4.5,0.25,
31,Minuta87_30_09_21_a.pdf,m87 30_09_2021,30/09/2021,4.75,0.25,
32,Minuta88_11_11_21_a.pdf,m88 11_11_2021,11/11/2021,5,0.25,*
33,Minuta89_16_12_21_a.pdf,m89 16_12_2021,16/12/2021,5.5,0.5,
34,Minuta90_10_02_22_a.pdf,m90 10_02_2022,10/02/2022,6,0.5,
35,Minuta91_24_03_22_a.pdf,m91 24_03_2022,24/03/2022,6.5,0.5,
36,Minuta92_12_05_22_a.pdf,m92 12_05_2026,12/05/2022,7,0.5,
37,Minuta93_23_06_22_a.pdf,m93 23_06_2022,23/06/2022,7.75,0.75,
38,Minuta94_11_08_22_a.pdf,m94 11_08_2022,11/08/2022,8.5,0.75,
39,Minuta95_29_09_22_a.pdf,m95 29_09_2022,29/09/2022,9.25,0.75,
40,Minuta96_10_11_22_a.pdf,m96 10_11_2022,10/11/2022,10,0.75,
41,Minuta97_15_12_22_a.pdf,m97 15_12_2022,15/12/2022,10.5,0.5,
42,Minuta98_09_02_23_a.pdf,m98 09_02_2023,09/02/2023,11,0.5,
43,Minuta99_30_03_23_a.pdf,m99 30_03_2023,30/03/2023,11.25,0.25,
44,Minuta100_18_05_23.pdf,m100 18_05_2023,18/05/2023,11.25,0,
45,Minuta101_22_06_23.pdf,m101 22_06_2023,22/06/2023,11.25,0,
46,Minuta102_10_08_23.pdf,m102 10_08_2023,10/08/2023,11.25,0,
47,Minuta103_28_09_23.pdf,m103 28_09_2023,28/09/2023,11.25,0,
48,Minuta104_09_11_23.pdf,m104 09_11_2023,09/11/2023,11.25,0,
49,Minuta105_14_12_23.pdf,m105 14_12_2023,14/12/2023,11.25,0,
50,Minuta106_08_02_24.pdf,m106 08_02_2024,08/02/2024,11.25,0,
